Blog	its	there	such	world	york	any	less	find	very	following	access	percent	results	are	few	stop	whole	happened	because	job	put	companies	try	early	movie	different	us	ever	car	president	morning	she	new	special	not	isn	about	view	go	side	house	having	from	set	news	trying	means	reading	since	took	only	through	high	big	though	please	another	called	our	want	right	found	thing	money	t	give	even	within	care	favorite	audio	day	won	thought	did	off	mean	often	today	step	com	his	who	everything	re	control	enough	much	take	think	more	donald	number	already	myself	interesting	up	version	say	be	game	online	make	ll	become	heard	now	based	hand	network	so	both	years	all	turn	book	lot	many	after	makes	thousands	playing	question	call	talk	use	let	man	also	nbsp	being	these	than	an	while	including	been	start	move	life	second	still	takes	least	their	have	feel	using	got	probably	which	reports	writing	away	actually	love	meet	follow	post	first	bad	community	days	we	important	million	report	six	u	them	case	may	tell	internet	drive	doesn	photo	real	m	went	again	facebook	close	time	list	security	show	around	tv	far	finally	people	everyone	watch	according	where	back	part	will	media	old	d	family	problem	when	huge	read	well	questions	those	or	outside	going	mark	what	top	help	check	content	goes	other	change	white	if	th	personal	thanks	link	said	person	american	most	line	too	wrote	point	out	google	things	am	one	your	never	used	know	ways	challenge	get	own	red	could	two	wanted	long	over	state	way	information	seen	likely	see	recently	support	service	play	always	water	months	place	during	better	was	data	social	business	great	would	need	yes	wrong	past	each	ve	shows	fact	app	related	before	america	look	some	something	music	they	photos	rather	year	stories	her	four	month	don	someone	gets	easy	by	blog	little	down	best	live	email	legal	keep	knowledge	soon	making	night	didn	ago	says	web	should	can	him	video	i	neutrality	clear	like	idea	process	started	yet	had	doing	future	no	under	but	project	as	every	done	me	once	might	team	full	working	same	hard	public	must	july	next	free	told	voice	times	order	black	here	end	city	good	e	claims	government	come	then	course	just	ask	twitter	how	does	into	three	were	company	seems	net	between	has	share	together	looking	against	home	made	later	run	design	week	amazon	left	my	really	last	he	trump	story	getting	word	save	do	anyone	behind	work	comes	bit	site	small	without	why	open
ShoeMoney	1	2	0	1	0	0	0	1	2	2	2	0	0	5	1	0	0	0	0	0	0	0	0	0	0	1	1	3	0	2	0	0	2	0	3	0	8	0	1	0	1	0	11	0	1	1	0	0	2	0	1	1	0	0	0	0	1	0	2	0	0	1	0	9	5	1	2	0	0	1	0	4	0	2	1	1	1	0	1	2	0	0	1	0	2	0	1	0	0	2	3	1	0	0	0	0	1	0	0	8	0	9	7	0	0	1	2	0	0	0	5	0	0	2	2	1	0	2	4	0	0	1	0	1	1	2	1	0	3	0	3	0	2	3	3	0	1	4	0	2	0	0	4	0	2	5	0	0	2	1	1	0	0	0	1	0	0	0	2	0	0	0	2	5	0	0	0	0	0	0	2	1	0	13	0	1	0	3	0	1	3	2	0	1	4	0	2	1	0	1	0	4	0	0	0	0	1	0	1	3	1	0	0	0	2	0	0	1	0	0	3	2	0	0	7	0	0	3	2	0	1	0	0	2	0	2	1	0	0	0	0	4	0	1	0	1	2	3	1	0	6	13	0	2	0	4	0	0	0	0	3	0	1	0	0	0	2	1	1	0	0	2	0	0	0	0	0	1	1	0	0	2	0	3	7	2	2	0	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	4	0	0	2	0	0	0	5	0	1	0	0	5	4	0	0	3	0	6	0	1	0	0	4	0	0	0	0	1	1	5	0	0	14	0	0	1	0	1	2	1	2	0	0	2	0	4	1	1	2	0	5	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	10	0	2	0	3	0	1	0	0	1	1	0	0	0	5	3	0	0	0	1	0	1	9	0	0	0	2	1	1	0	2	3	2	0	1	0	0	1	0	1	4	0
Oilman	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	2	0	3	0	0	0	0	0	2	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	1	1	0	0	0	0	3	1	1	0	0	0	0	0	0	0	1	1	1	0	2	1	1	0	0	1	2	0	0	3	1	1	2	0	0	2	2	1	4	1	0	2	0	2	0	0	0	1	3	0	0	0	4	1	1	1	0	0	1	2	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	4	0	1	0	0	0	1	1	0	1	2	0	1	2	0	0	0	2	5	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1	1	0	1	0	4	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	2	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	4	0	1	1	0	0	0	2	0	1	0	2	0	0	1	1	0	1	0	1	0	1	0	1	0	0	0	3	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	1	1	0	0	5	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	24	0	0	2	0	0	1	0	2	0	0	1	0	2	0	3	1	0	5	0	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	4	3	0	1	0	1	0	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	6	5	1	0	0	1	1	0	0	0	0	0	1	1	1	2	0	0	3	0
Signal v. Noise - Medium	7	37	5	5	0	11	10	13	25	2	0	1	4	42	12	6	3	3	20	3	3	16	6	6	0	5	12	7	4	0	2	16	15	0	27	4	43	0	15	2	0	13	29	8	0	7	3	1	4	4	17	6	2	15	2	8	14	8	30	18	10	8	10	7	92	9	17	2	2	5	0	11	5	5	14	13	4	9	8	2	5	25	30	8	31	2	24	26	16	20	35	0	1	2	3	3	42	0	5	47	4	1	31	23	4	3	10	2	2	0	45	4	20	36	4	0	13	19	7	2	2	6	4	5	5	3	2	1	12	0	5	17	25	20	10	0	20	5	3	2	2	12	4	3	31	40	3	4	19	5	16	2	4	3	7	1	2	3	2	11	4	2	5	90	2	1	0	3	0	16	3	7	4	0	2	6	0	3	24	9	5	1	2	45	2	0	3	5	0	4	0	40	6	0	0	24	16	2	9	2	6	19	1	7	38	5	1	18	4	23	40	2	16	0	43	2	6	8	2	2	12	4	4	55	1	3	3	0	6	5	0	8	1	14	4	11	39	1	30	2	38	34	9	3	17	2	4	25	5	3	12	16	16	13	15	1	18	4	3	3	13	3	0	2	2	4	7	3	0	2	16	86	2	0	33	7	13	5	2	7	2	14	25	0	3	4	2	11	0	9	19	23	4	74	0	7	15	2	15	2	8	28	10	0	2	31	1	10	18	14	0	2	0	8	2	2	19	4	12	4	2	0	10	38	14	1	231	0	2	27	4	5	8	4	41	15	6	27	0	60	3	44	19	13	35	3	1	5	7	11	5	10	0	2	0	3	6	6	0	3	2	4	20	12	0	12	4	0	0	8	18	7	45	3	1	21	13	14	5	35	24	0	1	4	18	7	1	2	1	0	11	8	9	1	7	0	0	38	12	10	49	0	13	7	2	1	43	0	2	40	1	4	0	18	3	19	4
Autoblog	8	0	1	0	0	1	2	1	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	0	8	0	0	0	17	0	1	0	0	0	0	0	0	0	6	0	0	0	0	39	1	0	1	0	5	0	0	39	3	0	40	0	1	0	0	0	4	0	0	0	3	0	0	0	3	0	0	5	0	0	0	1	0	0	0	1	1	0	0	0	2	0	3	0	1	0	0	0	2	2	1	10	0	0	0	1	0	0	3	0	0	0	1	0	1	4	0	0	0	0	4	1	0	0	0	0	0	39	0	0	0	156	0	5	2	5	5	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	0	0	6	0	9	0	3	1	0	0	2	0	0	9	0	0	0	3	0	0	3	3	0	0	0	0	0	2	1	0	0	0	0	3	0	3	1	12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	1	0	1	0	7	3	0	0	0	0	0	4	0	0	0	1	3	1	0	0	1	0	0	0	39	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	3	3	1	0	0	0	1	1	0	0	0	0	7	3	0	0	6	0	1	0	0	1	1	0	39	9	0	0	0	0	0	1	0	9	0	4	4	0	1	3	0	0	0	0	0	0	0	1	0	7	0	39	1	0	4	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	3	3	7	0	0	0	1	0	0	4	0	1	1	2	3	0	0	1	2	3	0	0	1	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kotaku	1	1	0	5	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	7	0	2	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	0	0	5	1	2	0	0	1	0	1	0	2	0	0	1	0	2	2	1	0	0	4	1	0	0	7	1	0	0	0	0	0	0	0	0	1	1	28	0	0	3	0	0	5	1	0	3	14	2	1	1	0	1	5	0	0	0	0	0	1	5	0	0	0	2	0	0	1	1	0	3	0	0	0	0	0	0	0	0	1	2	0	0	2	1	0	4	0	2	0	0	1	1	0	0	3	0	1	0	0	1	0	0	0	0	0	3	0	2	2	5	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	1	4	0	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	1	0	0	3	2	0	23	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	1	5	0	0	0	7	5	2	1	1	0	0	3	1	0	0	3	0	2	2	0	1	0	1	1	0	0	0	0	2	1	0	2	0	0	0	5	1	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	1	1	1	0	3	0	0	2	0	1	0	1	0	0	0	0	4	0	0	2	6	5	0	0	0	0	1	0	3	0	1	0	0	0	4	0	3	5	0	0	3	0	0	0	1	0	0	0	3	1	5	0	3	0	1	5	0	1	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	1	0	3	0	1	2	0	1	2	0	0	0	0	0	8	0	0	0	0	0	0	0	2	0	0	1	2	1	0	4	2	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Matt Cutts: Gadgets, Google, and SEO	0	0	1	2	0	0	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	1	0	6	0	2	0	1	0	4	0	1	1	1	1	0	2	0	1	0	0	0	0	1	1	0	0	0	0	0	1	3	1	0	0	0	0	0	3	0	0	0	1	0	0	1	1	0	0	1	0	3	0	0	1	1	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	2	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	0	0	2	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	2	0	3	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	1	0	1	7	0	0	2	5	0	0	1	0	2	3	0	0	1	0	1	0	2	0	1	0	2	0	1	2	1	6	0	1	0	1	0	0	1	5	0	1	0	1	1	0	0	0	0	1	4	0	0	0	0	0	0	0	2	0	0	2	0	0	3	0	0	0	2	0	1	0	1	0	3	2	0	0	0	0	0	1	0	0	1	0	0	1	0	3	1	2	0	0	21	0	0	3	0	0	0	0	0	0	0	1	0	3	2	2	1	0	1	0	1	1	2	1	0	2	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	6	1	3	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
SpikedHumor - Today's Videos and Pictures	7	1	1	1	0	2	0	0	0	1	0	1	1	6	1	0	1	0	3	0	3	0	0	1	1	0	2	3	4	0	1	3	7	3	8	0	9	1	2	2	2	1	20	4	2	0	1	0	1	0	0	0	0	1	0	2	3	1	1	1	0	2	0	1	6	0	5	0	0	0	0	1	0	0	2	3	1	0	0	0	6	9	3	1	2	0	0	0	1	2	4	0	0	0	2	2	13	0	1	1	1	0	2	0	0	1	0	0	0	1	2	0	2	14	0	0	0	2	3	1	0	0	0	1	2	0	2	4	3	0	1	1	1	11	3	0	3	0	1	2	6	2	4	0	3	6	3	4	1	2	0	1	0	1	1	1	0	0	3	2	0	0	5	9	0	1	1	0	3	3	0	1	1	0	0	1	0	4	1	2	1	0	0	4	1	2	5	4	2	1	0	3	2	102	1	0	2	7	5	0	2	1	2	3	4	0	0	0	1	2	3	0	0	0	5	2	0	0	0	0	2	1	1	1	1	1	0	0	3	1	3	2	0	2	0	0	1	1	1	2	6	6	1	0	4	0	0	4	0	0	1	0	0	2	0	0	2	0	0	0	4	0	1	0	3	0	2	0	0	0	0	4	0	0	0	1	2	1	0	0	0	0	2	0	1	3	0	2	4	5	9	2	2	0	2	0	0	1	0	0	0	3	1	2	0	108	0	1	3	6	2	0	0	2	0	0	3	1	0	2	1	0	1	5	1	15	19	0	0	5	0	0	1	0	5	0	2	1	1	8	2	1	3	1	5	2	2	1	2	0	0	0	1	2	0	0	1	0	4	1	1	2	102	3	2	2	0	0	3	0	2	0	12	0	0	5	2	2	0	0	0	0	0	2	8	1	1	0	0	0	0	0	0	0	0	0	2	8	1	4	7	0	0	0	1	0	2	0	0	2	0	1	1	0	0	4	0
Joho the Blog	0	0	0	0	0	2	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	8	1	3	0	0	0	0	0	5	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	0	2	1	0	0	2	0	0	2	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	7	0	0	1	0	0	1	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0	2	0	5	0	1	0	0	0	2	1	1	0	10	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	1	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	4	3	0	0	0	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	7	4	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	4	0	2	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	3	1	0	2	0	0	1	0	0	2	0	0	0	2	0	1	0
ProBlogger	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WIL WHEATON dot NET	5	36	1	3	0	14	3	6	7	0	0	2	1	42	3	2	3	4	42	3	5	0	18	2	3	9	18	6	6	0	6	123	7	1	24	12	41	0	20	4	8	2	16	1	0	4	1	2	7	3	5	8	2	9	3	3	17	4	32	14	7	1	8	1	114	11	6	1	2	0	2	12	5	3	8	9	2	0	9	1	1	6	19	8	17	0	3	15	22	12	28	0	1	2	12	0	40	2	8	38	5	0	14	13	0	1	9	0	14	3	63	8	5	24	2	6	10	6	5	2	2	2	0	2	3	1	3	3	6	7	5	3	16	28	13	2	32	4	2	17	3	3	6	5	5	52	16	0	8	3	5	0	2	3	1	7	2	2	1	8	3	0	13	86	3	0	0	4	0	21	0	4	16	5	3	19	0	5	51	5	8	3	4	29	1	0	6	16	4	2	4	14	5	6	0	10	24	4	20	1	3	8	1	1	33	0	10	5	5	1	31	1	27	0	23	0	9	3	1	2	18	2	2	30	1	1	0	0	4	4	1	6	1	12	3	4	38	1	15	17	18	11	3	1	46	1	0	40	6	0	6	16	2	11	11	0	12	1	6	0	10	2	0	0	3	1	3	2	2	5	2	37	0	1	3	5	4	10	2	5	1	5	34	3	0	0	0	17	0	12	23	22	1	40	1	2	4	3	105	5	3	22	7	4	1	11	2	15	19	8	0	1	0	11	2	2	7	3	13	8	9	0	8	53	2	0	466	5	4	31	0	3	3	0	19	7	0	10	3	71	0	39	4	3	53	1	0	1	2	5	9	3	0	1	0	11	4	1	4	4	0	2	8	4	0	8	0	0	0	6	8	1	31	6	1	19	6	31	8	14	0	3	2	3	22	0	10	3	4	13	5	5	1	0	5	0	1	92	7	13	17	2	6	6	2	0	33	5	3	7	16	9	0	2	7	8	6
O'Reilly Radar	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	6	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	3	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	1	0	6	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	10	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	3	0	1	1	1	1	0	2	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1
The Dish	0	3	0	7	0	1	1	2	1	2	0	1	1	7	0	0	0	0	1	1	0	0	0	1	0	1	3	0	0	1	2	1	2	0	6	1	9	2	3	0	2	0	13	0	2	0	0	3	2	1	3	4	1	2	1	3	2	0	4	1	0	1	1	1	15	0	4	0	0	2	0	9	1	2	2	0	0	2	1	0	1	11	5	0	2	0	1	2	1	1	7	0	1	0	1	0	7	0	1	11	1	0	2	3	1	0	2	0	0	0	6	0	11	6	0	3	0	3	2	0	2	1	2	0	2	1	0	1	0	0	0	5	4	9	0	1	6	0	0	1	0	2	1	2	7	5	0	0	0	2	2	0	2	0	0	7	0	1	4	4	1	0	0	18	0	1	0	0	3	0	1	1	0	2	0	1	2	1	1	1	0	0	1	6	0	0	0	4	1	0	0	5	0	0	2	0	3	3	5	0	3	1	0	1	5	0	9	1	1	2	3	0	2	0	9	0	0	0	2	0	2	0	0	2	0	1	0	0	4	1	0	5	0	1	1	0	3	0	3	2	10	12	2	0	6	0	0	2	1	0	1	1	1	6	3	0	0	0	0	2	0	4	2	0	0	1	0	0	1	2	2	10	0	0	0	0	1	0	1	0	3	0	3	1	1	0	0	1	2	3	1	0	0	8	1	1	3	0	1	0	0	4	0	0	0	12	6	2	1	0	1	3	1	1	0	0	0	0	3	2	0	0	3	4	0	0	38	0	0	0	3	0	1	1	4	1	0	6	2	10	0	21	1	0	11	0	1	0	0	0	2	1	1	0	0	1	0	1	1	1	0	0	2	3	0	0	0	0	0	0	7	0	4	0	0	6	0	1	1	1	0	0	0	1	8	0	0	2	1	1	2	0	0	0	1	0	0	17	0	3	3	0	3	0	1	0	3	2	1	3	0	0	2	0	2	3	2
Joel on Software	0	2	0	0	0	1	1	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	3	0	0	2	0	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	13	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	4	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	5	0	2	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	1	3	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0
Schneier on Security	0	1	1	0	0	0	1	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	0	2	0	2	0	0	0	0	0	3	0	1	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	3	0	0	0	0	1	0	0	0	4	0	0	3	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	2	6	1	0	1	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	1	1	0	0	1	1	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	2	0	1	0	0	0	7	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	1	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	1	2	0	1	0	1	0	0	0	0	1	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	5	0	0	0	0	0	0	0	0	0	2	1	0	1	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
ongoing by Tim Bray	1	6	0	2	1	1	0	1	2	0	0	0	0	7	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	4	2	0	5	0	6	2	3	0	1	0	2	0	1	0	0	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	2	0	11	0	1	0	1	0	0	6	3	1	1	0	1	0	0	2	1	0	2	0	14	0	1	1	1	3	2	0	0	0	0	0	6	0	0	10	0	0	3	2	0	0	2	0	0	0	11	0	3	3	0	2	0	0	2	0	0	0	0	1	2	2	1	1	0	0	0	2	0	7	1	0	4	0	0	2	0	4	0	1	1	1	2	0	5	0	3	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	2	1	1	0	0	0	0	0	0	0	0	5	1	0	0	0	3	0	0	0	1	1	0	0	0	0	0	0	1	2	3	0	0	0	0	0	0	2	0	1	1	0	3	4	0	0	0	6	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	2	2	1	1	3	1	0	0	5	3	0	1	1	0	0	1	0	0	1	3	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	0	0	6	0	0	0	0	0	0	2	3	0	1	2	0	0	1	0	1	1	1	3	0	0	0	6	1	0	2	0	0	0	0	0	0	0	0	2	1	0	0	0	1	2	0	0	50	0	0	6	1	0	0	0	2	0	0	2	0	11	0	0	0	0	5	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	1	1	0	0	1	3	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	10	0	1	1	0	0	0	2	0	8	0	0	3	0	0	1	0	0	0	0
